Test,t_start_UTC,t_end_UTC,CO2_meas_up_ppm,CO2_meas_up_err_ppm,CO2_meas_down_ppm,CO2_meas_down_err_ppm,CO2_meas_direct_ppm,CO2_meas_direct_err_ppm
1,2022-07-13_06:21:00,2022-07-13_06:54:00,456.452936856899,0.0307315062451238,456.4700837670301,0.0248999569565603,,
2,2022-07-13_11:39:00,2022-07-13_12:11:00,431.9753514829685,0.0347165510559678,431.97082914819697,0.0164460235571855,431.97365315833457,0.0342264400620176
3,2022-07-13_15:29:00,2022-07-13_16:00:00,423.6056018836345,0.0335468679434607,423.6500725089285,0.0051486419411387,423.5879099027448,0.0268541757676947
4,2022-09-23_10:00:00,2022-09-23_10:30:00,418.770488422138,0.0218326393082654,418.7573933798109,0.0445216556860111,,
5,2022-10-23_16:05:00,2022-10-23_16:25:00,446.5662812497819,0.0215105107311535,450.5055771537434,0.0165624541231035,,
6,2022-11-16_13:30:00,2022-11-16_13:50:00,435.94235598884666,0.0381556827349997,434.4817693692139,0.0079917235006183,,
7,2022-12-20_08:05:15,2022-12-20_08:36:45,553.6278200066014,0.028114558897082,563.4817510032904,0.0303937782976895,565.17816616404,0.0401152080553941
8,2023-03-12_07:47:41,2023-03-12_8:18:37,449.2770919200706,0.0773091924871181,449.3001126632221,0.0082957439471838,448.9343640444234,0.0216399513121405
9,2023-03-29_19:13:31,2023-03-29_19:44:40,430.32869432649767,0.0383656661200361,430.3050889974495,0.0182664365335253,430.2129168438892,0.0165870846468291
